U	Z	BC	SD	FB	CN	SF	FT	SO
1,785527326	0,165561657	0,161569154	0,026104592	0,026365522	-0,026434244	10,16156915	-1,59404937	0,31024053
-0,798143329	0,081647124	0,002449348	6,00E-06	-0,100391109	-0,026222922	10,00244935	-2,374146423	0,280701282
-0,314156724	-0,038971035	-0,21295249	0,045348763	-0,262768705	-0,026388061	9,78704751	1,723752106	0,215164659
0,593382339	0,036623345	-0,037420018	0,001400258	-0,051619971	-0,02657956	9,962579982	-0,309219331	0,152242656
2,521211519	0,016644625	-0,062054444	0,003850754	-0,063171862	-0,026626657	9,937945556	3,633109097	0,108759988
0,899011875	0,18497607	0,272855275	0,074450001	0,251979535	-0,02635161	10,27285527	-1,869141933	0,101733872
-0,822554897	0,09141989	0,078716186	0,006196238	0,037341948	-0,025954265	10,07871619	-0,707029634	0,107956589
1,074797649	0,052824172	0,007500418	5,63E-05	-0,02675425	-0,025818672	10,00750042	1,17926426	0,089959946
1,037112662	0,104265083	0,11370278	0,012928322	0,079878753	-0,025642434	10,11370278	4,928720258	0,078821235
0,823566565	0,334267945	0,550110028	0,302621042	0,469139069	-0,024913383	10,55011003	1,247913723	0,123376549
0,983112022	0,388010436	0,613355196	0,376204596	0,462666448	-0,023699177	10,6133552	-2,258464991	0,210908608
-1,271453523	0,272809913	0,353068884	0,124657637	0,174545929	-0,022695117	10,35306888	1,796526414	0,269662689
-1,431811552	0,349129137	0,483896099	0,234155434	0,29417073	-0,021809246	10,4838961	1,590329225	0,31061625
-0,187950347	0,414599425	0,584177237	0,341263044	0,36814584	-0,020695294	10,58417724	1,062955892	0,367454675
-1,026334262	0,453517794	0,627571155	0,393845555	0,382532167	-0,019441949	10,62757116	1,338652889	0,429811638
-0,378304563	0,503915348	0,692019773	0,478891367	0,418474985	-0,018082666	10,69201977	-3,23492682	0,493534994
0,369237385	0,334966663	0,336102487	0,112964882	0,070927327	-0,017031405	10,33610249	-3,199725591	0,517692502
1,139095354	0,166835487	0,015634077	0,000244424	-0,188474635	-0,016656762	10,01563408	-0,39153477	0,470819977
-0,562939703	0,133073151	-0,021269514	0,000452392	-0,157320194	-0,016630352	9,978730486	-2,031399009	0,391871083
-1,664321263	0,022740948	-0,203456824	0,041394679	-0,274635281	-0,01682775	9,796543176	-0,553152302	0,296784827
2,132802898	-0,015423578	-0,235151338	0,055296152	-0,246453373	-0,017233364	9,764848662	0,973626109	0,190705048
-0,242419155	0,021181752	-0,125594262	0,015773919	-0,104338178	-0,017555634	9,874405738	2,403784971	0,104349341
1,180582195	0,127565297	0,103655047	0,010744369	0,117827504	-0,01753477	10,10365505	-1,229534453	0,062303194
-0,647148553	0,061855058	-0,017178068	0,000295086	-0,013812252	-0,017417406	9,982821932	-3,311464458	0,036995109
1,314866273	-0,102412337	-0,315754441	0,099700867	-0,283604123	-0,017725242	9,684245559	4,581360236	-0,023035545
-0,332735499	0,110296516	0,128093654	0,016407984	0,161463698	-0,017862381	10,12809365	-0,612931964	-0,056378933
-1,065531899	0,076731182	0,060931084	0,003712597	0,068272394	-0,017640114	10,06093108	2,300233306	-0,048679775
0,570588248	0,181776494	0,263889375	0,069637602	0,240370741	-0,017273551	10,26388937	-1,558186481	-0,023702707
-0,993614701	0,102893846	0,098746234	0,009750819	0,05445019	-0,016882316	10,09874623	2,530986313	0,003790118
0,256273211	0,218228272	0,319191373	0,101883133	0,253240707	-0,016423656	10,31919137	-0,984662372	0,037637787
-0,883413833	0,165797137	0,201017093	0,040407872	0,114904818	-0,015875125	10,20101709	-2,332080891	0,077649141
-0,685171445	0,048620687	-0,028569263	0,000816203	-0,098618314	-0,015678847	9,971430737	1,169745758	0,080284187
0,494436017	0,098292467	0,080039556	0,00640633	0,027949366	-0,015592452	10,08003956	-2,067268958	0,07220642
1,860206917	-0,005616238	-0,114580921	0,013128788	-0,145051645	-0,015602346	9,885419079	0,627127343	0,054966752
1,598105827	0,019305838	-0,04735648	0,002242636	-0,054987351	-0,015730689	9,95264352	-1,719471187	0,028220635
0,663188756	-0,066599296	-0,198907949	0,039564372	-0,18248048	-0,015950371	9,801092051	-1,17143494	-0,004803098
-0,303824995	-0,125464219	-0,287052557	0,082399171	-0,235263737	-0,01640694	9,712947443	1,275924591	-0,056705508
-0,176663346	-0,066472912	-0,145392728	0,021139045	-0,076199876	-0,01680141	9,854607272	3,865806562	-0,096319801
-0,08945906	0,116874915	0,218160769	0,047594121	0,255556705	-0,016682926	10,21816077	2,978050886	-0,080864407
-0,139851434	0,257832672	0,468302342	0,219307084	0,434735723	-0,015955409	10,46830234	0,85807517	-0,006457985
-1,001918007	0,296407404	0,503629252	0,253642423	0,400732239	-0,014951382	10,50362925	-1,111279242	0,088558125
0,522974045	0,239287739	0,357262645	0,127636598	0,218537147	-0,014066397	10,35726265	-0,710589337	0,162753735
0,568617925	0,19970476	0,260478294	0,067848941	0,117369093	-0,013424422	10,26047829	-0,439396413	0,204919679
0,135235334	0,172187184	0,19704542	0,038826898	0,063928661	-0,012942666	10,19704542	-0,476748288	0,225106477
0,557513193	0,142492784	0,135976388	0,018489578	0,01979975	-0,01258617	10,13597639	-2,139812401	0,228508233
0,882883597	0,033587699	-0,070288849	0,004940522	-0,151883218	-0,012502334	9,929711151	1,116236938	0,202583257
2,409349262	0,080158967	0,037251457	0,001387671	-0,015603935	-0,012506744	10,03725146	1,099984394	0,168855626
0,495171268	0,126641982	0,133571846	0,017841438	0,083270901	-0,012307865	10,13357185	0,136898823	0,156508854
0,968690919	0,127459748	0,133873385	0,017922083	0,078110367	-0,012016086	10,13387339	0,981153001	0,153620819
-0,074455858	0,168384744	0,210666245	0,044380267	0,144259116	-0,011645301	10,21066625	1,555100948	0,158483135
-0,942753383	0,236378299	0,332518565	0,110568596	0,242233859	-0,011075296	10,33251856	4,486179958	0,181953976
-1,168977065	0,443163826	0,708984059	0,502658396	0,559529895	-0,010000053	10,70898406	0,281358476	0,251843281
-0,658797679	0,448112988	0,67022638	0,4492034	0,456688577	-0,008603543	10,67022638	1,267155457	0,344852388
-1,356309069	0,497652528	0,724328816	0,524652234	0,465806457	-0,007191373	10,72432882	-0,873240532	0,428990869
-1,7904122	0,443209217	0,579533736	0,335859351	0,299966832	-0,005879312	10,57953374	-2,465040501	0,492365315
-2,144268995	0,311317438	0,303589927	0,092166844	0,045671451	-0,004994599	10,30358993	-2,641544057	0,504752423
-0,845108166	0,170448792	0,036658847	0,001343871	-0,162078751	-0,004653683	10,03665885	-1,354254206	0,459664971
-0,097472219	0,091535557	-0,08940602	0,007993436	-0,217240588	-0,004701317	9,91059398	-2,623212118	0,378241303
-1,520389894	-0,046245076	-0,319056556	0,101797086	-0,36919401	-0,005107697	9,680943444	-3,261767845	0,267949768
-0,438961128	-0,212224522	-0,585768055	0,343124215	-0,54260889	-0,006010377	9,414231945	-3,702769934	0,120214867
1,233061995	-0,396082862	-0,868276315	0,75390376	-0,717182102	-0,007460455	9,131723685	-0,821940016	-0,064316462
1,070278172	-0,438813269	-0,864076643	0,746628445	-0,620049576	-0,009176029	9,135923357	0,669132205	-0,252465151
1,515625747	-0,406330374	-0,725114852	0,525791548	-0,431699806	-0,010740628	9,274885148	-2,315664936	-0,401667278
-0,95806038	-0,512347154	-0,869273744	0,755636841	-0,539997593	-0,012316809	9,130726256	-0,008648513	-0,529747696
0,192424405	-0,50536355	-0,791271309	0,626110284	-0,434330018	-0,013948464	9,208728691	3,257395299	-0,641316298
-1,648345203	-0,339930487	-0,424321976	0,180049139	-0,087883728	-0,01512264	9,575678024	2,56487832	-0,688175303
0,539474289	-0,20573139	-0,153396963	0,023530628	0,117513503	-0,01566046	9,846603037	3,184648458	-0,659747448
