Presure	MagVol	GenVol	Speed
-1,538060897	-2,009930174	-0,831706922	0,033544147
-1,538060897	-2,000162164	-0,829264919	0,077500191
1,426530067	-2,000162164	-0,807286897	0,138550252
-1,547828907	-2,000162164	-0,846358936	0,075058188
1,426530067	2,058445894	-0,88054697	0,011566125
1,431414072	-2,005046169	0,667682578	-0,044599931
1,431414072	-2,000162164	-0,660766751	0,040870154
1,431414072	2,053561889	-0,824380914	0,053080166
1,441182082	2,058445894	0,804434715	0,12634024
-1,528292888	-1,995278159	1,053518964	0,143434257
1,455834096	2,058445894	-0,497152587	0,233788347
1,441182082	-2,000162164	0,958280868	0,231346345
-1,538060897	-2,005046169	-0,487384577	0,270418384
1,426530067	2,058445894	-0,677860768	0,238672352
-1,533176893	-2,000162164	0,972932883	0,241114354
-1,533176893	-2,000162164	-0,453196543	0,285070398
1,431414072	-2,019698184	-0,672976763	0,289954403
-1,542944902	2,058445894	-0,731584821	0,219136332
1,441182082	2,063329899	0,855716766	0,170296284
1,441182082	-2,000162164	0,960722871	0,109246223
1,431414072	2,038909875	-0,592390682	0,084826198
